Annee,NomEtablissement,SousPage,Ligne,Colonne,Chiffre
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,6,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,7,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,14,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,14,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,14,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,14,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,14,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,6,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,7,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,16,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,16,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,16,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,16,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,16,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,17,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,17,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,17,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,17,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,17,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,18,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,18,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,18,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,18,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,18,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,19,1,0.0
